,province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity,carCommentVolum,newsReplyVolum
25,北京,110000,3d7554f1f56dd664,Sedan,2016,1,449,2388.0,43.0,3996.0
26,四川,510000,3d7554f1f56dd664,Sedan,2016,1,757,3757.0,43.0,3996.0
27,安徽,340000,3d7554f1f56dd664,Sedan,2016,1,275,1378.0,43.0,3996.0
28,山东,370000,3d7554f1f56dd664,Sedan,2016,1,890,3643.0,43.0,3996.0
29,山西,140000,3d7554f1f56dd664,Sedan,2016,1,387,1425.0,43.0,3996.0
30,广东,440000,3d7554f1f56dd664,Sedan,2016,1,8330,9439.0,43.0,3996.0
31,广西,450000,3d7554f1f56dd664,Sedan,2016,1,801,1491.0,43.0,3996.0
32,江苏,320000,3d7554f1f56dd664,Sedan,2016,1,1685,4436.0,43.0,3996.0
33,江西,360000,3d7554f1f56dd664,Sedan,2016,1,393,1170.0,43.0,3996.0
34,河北,130000,3d7554f1f56dd664,Sedan,2016,1,788,3275.0,43.0,3996.0
35,河南,410000,3d7554f1f56dd664,Sedan,2016,1,850,3728.0,43.0,3996.0
36,浙江,330000,3d7554f1f56dd664,Sedan,2016,1,1438,4077.0,43.0,3996.0
37,湖北,420000,3d7554f1f56dd664,Sedan,2016,1,762,2086.0,43.0,3996.0
38,湖南,430000,3d7554f1f56dd664,Sedan,2016,1,678,1887.0,43.0,3996.0
39,福建,350000,3d7554f1f56dd664,Sedan,2016,1,1115,1812.0,43.0,3996.0
40,辽宁,210000,3d7554f1f56dd664,Sedan,2016,1,1304,3398.0,43.0,3996.0
41,重庆,500000,3d7554f1f56dd664,Sedan,2016,1,188,679.0,43.0,3996.0
42,陕西,610000,3d7554f1f56dd664,Sedan,2016,1,240,1444.0,43.0,3996.0
43,黑龙江,230000,3d7554f1f56dd664,Sedan,2016,1,467,2274.0,43.0,3996.0
44,上海,310000,2d0d2c3403909fdb,SUV,2016,1,232,822.0,59.0,698.0
45,云南,530000,2d0d2c3403909fdb,SUV,2016,1,297,1017.0,59.0,698.0
46,内蒙古,150000,2d0d2c3403909fdb,SUV,2016,1,259,932.0,59.0,698.0
47,北京,110000,2d0d2c3403909fdb,SUV,2016,1,805,1337.0,59.0,698.0
48,四川,510000,2d0d2c3403909fdb,SUV,2016,1,423,2167.0,59.0,698.0
49,安徽,340000,2d0d2c3403909fdb,SUV,2016,1,138,851.0,59.0,698.0
50,山东,370000,2d0d2c3403909fdb,SUV,2016,1,337,2019.0,59.0,698.0
51,山西,140000,2d0d2c3403909fdb,SUV,2016,1,166,712.0,59.0,698.0
52,广东,440000,2d0d2c3403909fdb,SUV,2016,1,1775,3140.0,59.0,698.0
53,广西,450000,2d0d2c3403909fdb,SUV,2016,1,207,527.0,59.0,698.0
54,江苏,320000,2d0d2c3403909fdb,SUV,2016,1,463,1790.0,59.0,698.0
55,江西,360000,2d0d2c3403909fdb,SUV,2016,1,97,467.0,59.0,698.0
56,河北,130000,2d0d2c3403909fdb,SUV,2016,1,326,1780.0,59.0,698.0
57,河南,410000,2d0d2c3403909fdb,SUV,2016,1,271,1890.0,59.0,698.0
58,浙江,330000,2d0d2c3403909fdb,SUV,2016,1,381,1695.0,59.0,698.0
59,湖北,420000,2d0d2c3403909fdb,SUV,2016,1,226,1030.0,59.0,698.0
60,湖南,430000,2d0d2c3403909fdb,SUV,2016,1,259,866.0,59.0,698.0
61,福建,350000,2d0d2c3403909fdb,SUV,2016,1,137,537.0,59.0,698.0
62,辽宁,210000,2d0d2c3403909fdb,SUV,2016,1,543,1281.0,59.0,698.0
63,重庆,500000,2d0d2c3403909fdb,SUV,2016,1,172,458.0,59.0,698.0
64,陕西,610000,2d0d2c3403909fdb,SUV,2016,1,248,838.0,59.0,698.0
65,黑龙江,230000,2d0d2c3403909fdb,SUV,2016,1,362,1158.0,59.0,698.0
66,上海,310000,a28bb927b6fcb33c,Sedan,2016,1,243,669.0,219.0,117.0
67,云南,530000,a28bb927b6fcb33c,Sedan,2016,1,238,465.0,219.0,117.0
68,内蒙古,150000,a28bb927b6fcb33c,Sedan,2016,1,190,552.0,219.0,117.0
69,北京,110000,a28bb927b6fcb33c,Sedan,2016,1,335,1026.0,219.0,117.0
70,四川,510000,a28bb927b6fcb33c,Sedan,2016,1,528,1753.0,219.0,117.0
71,安徽,340000,a28bb927b6fcb33c,Sedan,2016,1,308,735.0,219.0,117.0
72,山东,370000,a28bb927b6fcb33c,Sedan,2016,1,424,1635.0,219.0,117.0
73,山西,140000,a28bb927b6fcb33c,Sedan,2016,1,182,578.0,219.0,117.0
74,广东,440000,a28bb927b6fcb33c,Sedan,2016,1,4260,4350.0,219.0,117.0
75,广西,450000,a28bb927b6fcb33c,Sedan,2016,1,414,617.0,219.0,117.0
76,江苏,320000,a28bb927b6fcb33c,Sedan,2016,1,902,2035.0,219.0,117.0
77,江西,360000,a28bb927b6fcb33c,Sedan,2016,1,248,491.0,219.0,117.0
78,河北,130000,a28bb927b6fcb33c,Sedan,2016,1,409,1540.0,219.0,117.0
79,河南,410000,a28bb927b6fcb33c,Sedan,2016,1,455,1535.0,219.0,117.0
80,浙江,330000,a28bb927b6fcb33c,Sedan,2016,1,1040,2053.0,219.0,117.0
81,湖北,420000,a28bb927b6fcb33c,Sedan,2016,1,675,1022.0,219.0,117.0
82,湖南,430000,a28bb927b6fcb33c,Sedan,2016,1,547,870.0,219.0,117.0
83,福建,350000,a28bb927b6fcb33c,Sedan,2016,1,464,717.0,219.0,117.0
84,辽宁,210000,a28bb927b6fcb33c,Sedan,2016,1,649,1261.0,219.0,117.0
85,重庆,500000,a28bb927b6fcb33c,Sedan,2016,1,187,352.0,219.0,117.0
86,陕西,610000,a28bb927b6fcb33c,Sedan,2016,1,259,648.0,219.0,117.0
87,黑龙江,230000,a28bb927b6fcb33c,Sedan,2016,1,291,944.0,219.0,117.0
88,上海,310000,17bc272c93f19d56,MPV,2016,1,365,3369.0,0.0,0.0
89,云南,530000,17bc272c93f19d56,MPV,2016,1,4147,6548.0,0.0,0.0
90,内蒙古,150000,17bc272c93f19d56,MPV,2016,1,567,2074.0,0.0,0.0
91,北京,110000,17bc272c93f19d56,MPV,2016,1,456,4987.0,0.0,0.0
92,四川,510000,17bc272c93f19d56,MPV,2016,1,1772,8433.0,0.0,0.0
93,安徽,340000,17bc272c93f19d56,MPV,2016,1,2289,4473.0,0.0,0.0
94,山东,370000,17bc272c93f19d56,MPV,2016,1,5481,11802.0,0.0,0.0
95,山西,140000,17bc272c93f19d56,MPV,2016,1,2166,5520.0,0.0,0.0
96,广东,440000,17bc272c93f19d56,MPV,2016,1,2118,14106.0,0.0,0.0
97,广西,450000,17bc272c93f19d56,MPV,2016,1,4779,5444.0,0.0,0.0
98,江苏,320000,17bc272c93f19d56,MPV,2016,1,2358,9156.0,0.0,0.0
99,江西,360000,17bc272c93f19d56,MPV,2016,1,1882,3102.0,0.0,0.0
100,河北,130000,17bc272c93f19d56,MPV,2016,1,4112,10812.0,0.0,0.0
101,河南,410000,17bc272c93f19d56,MPV,2016,1,7051,19036.0,0.0,0.0
102,浙江,330000,17bc272c93f19d56,MPV,2016,1,1411,7690.0,0.0,0.0
103,湖北,420000,17bc272c93f19d56,MPV,2016,1,1923,4759.0,0.0,0.0
104,湖南,430000,17bc272c93f19d56,MPV,2016,1,2637,5196.0,0.0,0.0
105,福建,350000,17bc272c93f19d56,MPV,2016,1,670,2703.0,0.0,0.0
106,辽宁,210000,17bc272c93f19d56,MPV,2016,1,1203,3388.0,0.0,0.0
107,重庆,500000,17bc272c93f19d56,MPV,2016,1,370,1541.0,0.0,0.0
108,陕西,610000,17bc272c93f19d56,MPV,2016,1,2683,5882.0,0.0,0.0
109,黑龙江,230000,17bc272c93f19d56,MPV,2016,1,721,2569.0,0.0,0.0
110,上海,310000,2a2ab41f8f6ff1cb,SUV,2016,1,431,1320.0,29.0,3278.0
111,云南,530000,2a2ab41f8f6ff1cb,SUV,2016,1,248,755.0,29.0,3278.0
112,内蒙古,150000,2a2ab41f8f6ff1cb,SUV,2016,1,939,1243.0,29.0,3278.0
113,北京,110000,2a2ab41f8f6ff1cb,SUV,2016,1,458,1904.0,29.0,3278.0
114,四川,510000,2a2ab41f8f6ff1cb,SUV,2016,1,1221,3683.0,29.0,3278.0
115,安徽,340000,2a2ab41f8f6ff1cb,SUV,2016,1,1440,1999.0,29.0,3278.0
116,山东,370000,2a2ab41f8f6ff1cb,SUV,2016,1,1657,4276.0,29.0,3278.0
117,山西,140000,2a2ab41f8f6ff1cb,SUV,2016,1,639,1454.0,29.0,3278.0
118,广东,440000,2a2ab41f8f6ff1cb,SUV,2016,1,6442,9568.0,29.0,3278.0
119,广西,450000,2a2ab41f8f6ff1cb,SUV,2016,1,719,1119.0,29.0,3278.0
120,江苏,320000,2a2ab41f8f6ff1cb,SUV,2016,1,2063,4257.0,29.0,3278.0
121,江西,360000,2a2ab41f8f6ff1cb,SUV,2016,1,1070,1387.0,29.0,3278.0
122,河北,130000,2a2ab41f8f6ff1cb,SUV,2016,1,1775,4276.0,29.0,3278.0
123,河南,410000,2a2ab41f8f6ff1cb,SUV,2016,1,2481,5788.0,29.0,3278.0
124,浙江,330000,2a2ab41f8f6ff1cb,SUV,2016,1,1156,2659.0,29.0,3278.0
125,湖北,420000,2a2ab41f8f6ff1cb,SUV,2016,1,1769,2506.0,29.0,3278.0
126,湖南,430000,2a2ab41f8f6ff1cb,SUV,2016,1,1843,2392.0,29.0,3278.0
127,福建,350000,2a2ab41f8f6ff1cb,SUV,2016,1,356,956.0,29.0,3278.0
128,辽宁,210000,2a2ab41f8f6ff1cb,SUV,2016,1,299,755.0,29.0,3278.0
129,重庆,500000,2a2ab41f8f6ff1cb,SUV,2016,1,771,1291.0,29.0,3278.0
130,陕西,610000,2a2ab41f8f6ff1cb,SUV,2016,1,524,1320.0,29.0,3278.0
131,黑龙江,230000,2a2ab41f8f6ff1cb,SUV,2016,1,605,1100.0,29.0,3278.0
132,上海,310000,c06a2a387c0ee510,MPV,2016,1,1178,1117.0,2.0,1508.0
133,云南,530000,c06a2a387c0ee510,MPV,2016,1,77,418.0,2.0,1508.0
134,内蒙古,150000,c06a2a387c0ee510,MPV,2016,1,67,381.0,2.0,1508.0
135,北京,110000,c06a2a387c0ee510,MPV,2016,1,1071,1524.0,2.0,1508.0
136,四川,510000,c06a2a387c0ee510,MPV,2016,1,156,1133.0,2.0,1508.0
137,安徽,340000,c06a2a387c0ee510,MPV,2016,1,149,502.0,2.0,1508.0
138,山东,370000,c06a2a387c0ee510,MPV,2016,1,635,1953.0,2.0,1508.0
139,山西,140000,c06a2a387c0ee510,MPV,2016,1,133,589.0,2.0,1508.0
140,广东,440000,c06a2a387c0ee510,MPV,2016,1,585,1985.0,2.0,1508.0
141,广西,450000,c06a2a387c0ee510,MPV,2016,1,58,299.0,2.0,1508.0
142,江苏,320000,c06a2a387c0ee510,MPV,2016,1,739,1647.0,2.0,1508.0
143,江西,360000,c06a2a387c0ee510,MPV,2016,1,91,305.0,2.0,1508.0
144,河北,130000,c06a2a387c0ee510,MPV,2016,1,250,1286.0,2.0,1508.0
145,河南,410000,c06a2a387c0ee510,MPV,2016,1,383,1713.0,2.0,1508.0
146,浙江,330000,c06a2a387c0ee510,MPV,2016,1,395,1209.0,2.0,1508.0
147,湖北,420000,c06a2a387c0ee510,MPV,2016,1,109,528.0,2.0,1508.0
148,湖南,430000,c06a2a387c0ee510,MPV,2016,1,80,416.0,2.0,1508.0
149,福建,350000,c06a2a387c0ee510,MPV,2016,1,77,410.0,2.0,1508.0
150,辽宁,210000,c06a2a387c0ee510,MPV,2016,1,160,669.0,2.0,1508.0
151,重庆,500000,c06a2a387c0ee510,MPV,2016,1,81,299.0,2.0,1508.0
152,陕西,610000,c06a2a387c0ee510,MPV,2016,1,175,607.0,2.0,1508.0
153,黑龙江,230000,c06a2a387c0ee510,MPV,2016,1,108,575.0,2.0,1508.0
154,上海,310000,7023efdab9cedc03,Sedan,2016,1,992,2658.0,12.0,54.0
155,云南,530000,7023efdab9cedc03,Sedan,2016,1,191,994.0,12.0,54.0
156,内蒙古,150000,7023efdab9cedc03,Sedan,2016,1,102,973.0,12.0,54.0
157,北京,110000,7023efdab9cedc03,Sedan,2016,1,210,2354.0,12.0,54.0
158,四川,510000,7023efdab9cedc03,Sedan,2016,1,429,3507.0,12.0,54.0
159,安徽,340000,7023efdab9cedc03,Sedan,2016,1,762,2472.0,12.0,54.0
160,山东,370000,7023efdab9cedc03,Sedan,2016,1,898,4806.0,12.0,54.0
161,山西,140000,7023efdab9cedc03,Sedan,2016,1,114,1180.0,12.0,54.0
162,广东,440000,7023efdab9cedc03,Sedan,2016,1,609,4122.0,12.0,54.0
163,广西,450000,7023efdab9cedc03,Sedan,2016,1,170,904.0,12.0,54.0
164,江苏,320000,7023efdab9cedc03,Sedan,2016,1,1906,6905.0,12.0,54.0
165,江西,360000,7023efdab9cedc03,Sedan,2016,1,344,1457.0,12.0,54.0
166,河北,130000,7023efdab9cedc03,Sedan,2016,1,279,2831.0,12.0,54.0
167,河南,410000,7023efdab9cedc03,Sedan,2016,1,558,4025.0,12.0,54.0
168,浙江,330000,7023efdab9cedc03,Sedan,2016,1,1566,4992.0,12.0,54.0
169,湖北,420000,7023efdab9cedc03,Sedan,2016,1,453,2071.0,12.0,54.0
170,湖南,430000,7023efdab9cedc03,Sedan,2016,1,459,1836.0,12.0,54.0
171,福建,350000,7023efdab9cedc03,Sedan,2016,1,237,1242.0,12.0,54.0
172,辽宁,210000,7023efdab9cedc03,Sedan,2016,1,158,1249.0,12.0,54.0
173,重庆,500000,7023efdab9cedc03,Sedan,2016,1,81,690.0,12.0,54.0
174,陕西,610000,7023efdab9cedc03,Sedan,2016,1,275,1608.0,12.0,54.0
175,黑龙江,230000,7023efdab9cedc03,Sedan,2016,1,38,1015.0,12.0,54.0
176,上海,310000,af6f4f548684e14d,SUV,2016,1,1572,3615.0,152.0,3963.0
177,云南,530000,af6f4f548684e14d,SUV,2016,1,612,1296.0,152.0,3963.0
178,内蒙古,150000,af6f4f548684e14d,SUV,2016,1,463,1120.0,152.0,3963.0
179,北京,110000,af6f4f548684e14d,SUV,2016,1,895,3499.0,152.0,3963.0
180,四川,510000,af6f4f548684e14d,SUV,2016,1,1417,4444.0,152.0,3963.0
181,安徽,340000,af6f4f548684e14d,SUV,2016,1,1219,2230.0,152.0,3963.0
182,山东,370000,af6f4f548684e14d,SUV,2016,1,2241,5494.0,152.0,3963.0
183,山西,140000,af6f4f548684e14d,SUV,2016,1,677,1686.0,152.0,3963.0
184,广东,440000,af6f4f548684e14d,SUV,2016,1,2250,5197.0,152.0,3963.0
185,广西,450000,af6f4f548684e14d,SUV,2016,1,594,1054.0,152.0,3963.0
186,江苏,320000,af6f4f548684e14d,SUV,2016,1,2192,5279.0,152.0,3963.0
187,江西,360000,af6f4f548684e14d,SUV,2016,1,1062,1609.0,152.0,3963.0
188,河北,130000,af6f4f548684e14d,SUV,2016,1,1028,3296.0,152.0,3963.0
189,河南,410000,af6f4f548684e14d,SUV,2016,1,1627,4697.0,152.0,3963.0
190,浙江,330000,af6f4f548684e14d,SUV,2016,1,1657,4054.0,152.0,3963.0
191,湖北,420000,af6f4f548684e14d,SUV,2016,1,1510,3170.0,152.0,3963.0
192,湖南,430000,af6f4f548684e14d,SUV,2016,1,1650,2730.0,152.0,3963.0
193,福建,350000,af6f4f548684e14d,SUV,2016,1,850,1686.0,152.0,3963.0
194,辽宁,210000,af6f4f548684e14d,SUV,2016,1,446,1263.0,152.0,3963.0
195,重庆,500000,af6f4f548684e14d,SUV,2016,1,540,1302.0,152.0,3963.0
196,陕西,610000,af6f4f548684e14d,SUV,2016,1,746,1703.0,152.0,3963.0
197,黑龙江,230000,af6f4f548684e14d,SUV,2016,1,266,1082.0,152.0,3963.0
198,上海,310000,7cf283430b3b5e38,Sedan,2016,1,1709,3212.0,270.0,3705.0
199,云南,530000,7cf283430b3b5e38,Sedan,2016,1,390,1076.0,270.0,3705.0
200,内蒙古,150000,7cf283430b3b5e38,Sedan,2016,1,558,1156.0,270.0,3705.0
201,北京,110000,7cf283430b3b5e38,Sedan,2016,1,334,2656.0,270.0,3705.0
202,四川,510000,7cf283430b3b5e38,Sedan,2016,1,1710,4395.0,270.0,3705.0
203,安徽,340000,7cf283430b3b5e38,Sedan,2016,1,2375,3459.0,270.0,3705.0
204,山东,370000,7cf283430b3b5e38,Sedan,2016,1,3723,7475.0,270.0,3705.0
205,山西,140000,7cf283430b3b5e38,Sedan,2016,1,646,1738.0,270.0,3705.0
206,广东,440000,7cf283430b3b5e38,Sedan,2016,1,1777,4986.0,270.0,3705.0
207,广西,450000,7cf283430b3b5e38,Sedan,2016,1,677,1147.0,270.0,3705.0
208,江苏,320000,7cf283430b3b5e38,Sedan,2016,1,4998,8826.0,270.0,3705.0
209,江西,360000,7cf283430b3b5e38,Sedan,2016,1,1261,1994.0,270.0,3705.0
210,河北,130000,7cf283430b3b5e38,Sedan,2016,1,1931,4492.0,270.0,3705.0
211,河南,410000,7cf283430b3b5e38,Sedan,2016,1,2603,6037.0,270.0,3705.0
212,浙江,330000,7cf283430b3b5e38,Sedan,2016,1,3101,5807.0,270.0,3705.0
213,湖北,420000,7cf283430b3b5e38,Sedan,2016,1,1782,2780.0,270.0,3705.0
214,湖南,430000,7cf283430b3b5e38,Sedan,2016,1,1687,2453.0,270.0,3705.0
215,福建,350000,7cf283430b3b5e38,Sedan,2016,1,893,1588.0,270.0,3705.0
216,辽宁,210000,7cf283430b3b5e38,Sedan,2016,1,589,1526.0,270.0,3705.0
217,重庆,500000,7cf283430b3b5e38,Sedan,2016,1,370,856.0,270.0,3705.0
218,陕西,610000,7cf283430b3b5e38,Sedan,2016,1,741,1985.0,270.0,3705.0
219,黑龙江,230000,7cf283430b3b5e38,Sedan,2016,1,299,1103.0,270.0,3705.0
220,上海,310000,d4efbebb087fd03f,Sedan,2016,1,204,5993.0,17.0,2313.0
221,云南,530000,d4efbebb087fd03f,Sedan,2016,1,184,2144.0,17.0,2313.0
222,内蒙古,150000,d4efbebb087fd03f,Sedan,2016,1,389,3679.0,17.0,2313.0
223,北京,110000,d4efbebb087fd03f,Sedan,2016,1,207,12937.0,17.0,2313.0
224,四川,510000,d4efbebb087fd03f,Sedan,2016,1,955,7869.0,17.0,2313.0
225,安徽,340000,d4efbebb087fd03f,Sedan,2016,1,792,7626.0,17.0,2313.0
226,山东,370000,d4efbebb087fd03f,Sedan,2016,1,1924,12840.0,17.0,2313.0
227,山西,140000,d4efbebb087fd03f,Sedan,2016,1,452,4653.0,17.0,2313.0
228,广东,440000,d4efbebb087fd03f,Sedan,2016,1,1224,24365.0,17.0,2313.0
229,广西,450000,d4efbebb087fd03f,Sedan,2016,1,498,3508.0,17.0,2313.0
230,江苏,320000,d4efbebb087fd03f,Sedan,2016,1,1062,15837.0,17.0,2313.0
231,江西,360000,d4efbebb087fd03f,Sedan,2016,1,1049,4410.0,17.0,2313.0
232,河北,130000,d4efbebb087fd03f,Sedan,2016,1,919,9843.0,17.0,2313.0
233,河南,410000,d4efbebb087fd03f,Sedan,2016,1,2130,19955.0,17.0,2313.0
234,浙江,330000,d4efbebb087fd03f,Sedan,2016,1,1779,15301.0,17.0,2313.0
235,湖北,420000,d4efbebb087fd03f,Sedan,2016,1,890,6066.0,17.0,2313.0
236,湖南,430000,d4efbebb087fd03f,Sedan,2016,1,1524,5043.0,17.0,2313.0
237,福建,350000,d4efbebb087fd03f,Sedan,2016,1,671,6383.0,17.0,2313.0
238,辽宁,210000,d4efbebb087fd03f,Sedan,2016,1,214,7845.0,17.0,2313.0
239,重庆,500000,d4efbebb087fd03f,Sedan,2016,1,378,2607.0,17.0,2313.0
240,陕西,610000,d4efbebb087fd03f,Sedan,2016,1,927,4556.0,17.0,2313.0
241,黑龙江,230000,d4efbebb087fd03f,Sedan,2016,1,193,2412.0,17.0,2313.0
242,上海,310000,7245e0ee27b195cd,Sedan,2016,1,78,257.0,96.0,1699.0
243,云南,530000,7245e0ee27b195cd,Sedan,2016,1,341,231.0,96.0,1699.0
244,内蒙古,150000,7245e0ee27b195cd,Sedan,2016,1,352,425.0,96.0,1699.0
245,北京,110000,7245e0ee27b195cd,Sedan,2016,1,235,589.0,96.0,1699.0
246,四川,510000,7245e0ee27b195cd,Sedan,2016,1,756,867.0,96.0,1699.0
247,安徽,340000,7245e0ee27b195cd,Sedan,2016,1,363,371.0,96.0,1699.0
248,山东,370000,7245e0ee27b195cd,Sedan,2016,1,1789,1727.0,96.0,1699.0
249,山西,140000,7245e0ee27b195cd,Sedan,2016,1,429,568.0,96.0,1699.0
250,广东,440000,7245e0ee27b195cd,Sedan,2016,1,641,1219.0,96.0,1699.0
251,广西,450000,7245e0ee27b195cd,Sedan,2016,1,285,262.0,96.0,1699.0
252,江苏,320000,7245e0ee27b195cd,Sedan,2016,1,444,653.0,96.0,1699.0
253,江西,360000,7245e0ee27b195cd,Sedan,2016,1,527,342.0,96.0,1699.0
254,河北,130000,7245e0ee27b195cd,Sedan,2016,1,1277,1440.0,96.0,1699.0
255,河南,410000,7245e0ee27b195cd,Sedan,2016,1,1463,1475.0,96.0,1699.0
256,浙江,330000,7245e0ee27b195cd,Sedan,2016,1,450,746.0,96.0,1699.0
257,湖北,420000,7245e0ee27b195cd,Sedan,2016,1,427,374.0,96.0,1699.0
258,湖南,430000,7245e0ee27b195cd,Sedan,2016,1,899,473.0,96.0,1699.0
259,福建,350000,7245e0ee27b195cd,Sedan,2016,1,201,281.0,96.0,1699.0
260,辽宁,210000,7245e0ee27b195cd,Sedan,2016,1,295,464.0,96.0,1699.0
261,重庆,500000,7245e0ee27b195cd,Sedan,2016,1,218,179.0,96.0,1699.0
262,陕西,610000,7245e0ee27b195cd,Sedan,2016,1,785,803.0,96.0,1699.0
263,黑龙江,230000,7245e0ee27b195cd,Sedan,2016,1,272,349.0,96.0,1699.0
264,上海,310000,8c915fe4632fb9fa,SUV,2016,1,320,1275.0,3.0,4429.0
265,云南,530000,8c915fe4632fb9fa,SUV,2016,1,785,970.0,3.0,4429.0
266,内蒙古,150000,8c915fe4632fb9fa,SUV,2016,1,363,691.0,3.0,4429.0
267,北京,110000,8c915fe4632fb9fa,SUV,2016,1,362,1618.0,3.0,4429.0
268,四川,510000,8c915fe4632fb9fa,SUV,2016,1,1794,2983.0,3.0,4429.0
269,安徽,340000,8c915fe4632fb9fa,SUV,2016,1,1233,1844.0,3.0,4429.0
270,山东,370000,8c915fe4632fb9fa,SUV,2016,1,1412,3234.0,3.0,4429.0
271,山西,140000,8c915fe4632fb9fa,SUV,2016,1,494,1318.0,3.0,4429.0
272,广东,440000,8c915fe4632fb9fa,SUV,2016,1,1574,3109.0,3.0,4429.0
273,广西,450000,8c915fe4632fb9fa,SUV,2016,1,527,576.0,3.0,4429.0
274,江苏,320000,8c915fe4632fb9fa,SUV,2016,1,1591,3152.0,3.0,4429.0
275,江西,360000,8c915fe4632fb9fa,SUV,2016,1,905,985.0,3.0,4429.0
276,河北,130000,8c915fe4632fb9fa,SUV,2016,1,1293,2507.0,3.0,4429.0
277,河南,410000,8c915fe4632fb9fa,SUV,2016,1,1515,3581.0,3.0,4429.0
278,浙江,330000,8c915fe4632fb9fa,SUV,2016,1,1861,2729.0,3.0,4429.0
279,湖北,420000,8c915fe4632fb9fa,SUV,2016,1,1123,1683.0,3.0,4429.0
280,湖南,430000,8c915fe4632fb9fa,SUV,2016,1,1080,1235.0,3.0,4429.0
281,福建,350000,8c915fe4632fb9fa,SUV,2016,1,489,909.0,3.0,4429.0
282,辽宁,210000,8c915fe4632fb9fa,SUV,2016,1,351,845.0,3.0,4429.0
283,重庆,500000,8c915fe4632fb9fa,SUV,2016,1,459,666.0,3.0,4429.0
284,陕西,610000,8c915fe4632fb9fa,SUV,2016,1,709,1310.0,3.0,4429.0
285,黑龙江,230000,8c915fe4632fb9fa,SUV,2016,1,587,1146.0,3.0,4429.0
286,上海,310000,6155b214590c66e6,SUV,2016,1,871,4905.0,12.0,3219.0
287,云南,530000,6155b214590c66e6,SUV,2016,1,1704,3584.0,12.0,3219.0
288,内蒙古,150000,6155b214590c66e6,SUV,2016,1,744,2773.0,12.0,3219.0
289,北京,110000,6155b214590c66e6,SUV,2016,1,963,6383.0,12.0,3219.0
290,四川,510000,6155b214590c66e6,SUV,2016,1,3386,9483.0,12.0,3219.0
291,安徽,340000,6155b214590c66e6,SUV,2016,1,2327,5166.0,12.0,3219.0
292,山东,370000,6155b214590c66e6,SUV,2016,1,3259,10660.0,12.0,3219.0
293,山西,140000,6155b214590c66e6,SUV,2016,1,885,3871.0,12.0,3219.0
294,广东,440000,6155b214590c66e6,SUV,2016,1,3438,11720.0,12.0,3219.0
295,广西,450000,6155b214590c66e6,SUV,2016,1,898,2289.0,12.0,3219.0
296,江苏,320000,6155b214590c66e6,SUV,2016,1,3796,11380.0,12.0,3219.0
297,江西,360000,6155b214590c66e6,SUV,2016,1,1595,2982.0,12.0,3219.0
298,河北,130000,6155b214590c66e6,SUV,2016,1,2546,7848.0,12.0,3219.0
299,河南,410000,6155b214590c66e6,SUV,2016,1,4567,13080.0,12.0,3219.0
300,浙江,330000,6155b214590c66e6,SUV,2016,1,3658,9470.0,12.0,3219.0
301,湖北,420000,6155b214590c66e6,SUV,2016,1,2416,5507.0,12.0,3219.0
